ose-azure-acr-image-credential-provider	ose-azure-acr-image-credential-provider-4.19.0-202602241905.p2.g7109d6b.assembly.stream.el9.x86_64
ose-gcp-gcr-image-credential-provider	ose-gcp-gcr-image-credential-provider-4.19.0-202602241905.p2.gd8d3aeb.assembly.stream.el9.x86_64
os-prober	os-prober-1.77-12.el9_5.x86_64
ostree-grub2	ostree-grub2-2025.2-4.el9_6.x86_64
ostree-libs	ostree-libs-2025.2-4.el9_6.x86_64
ostree	ostree-2025.2-4.el9_6.x86_64
p11-kit	p11-kit-0.25.3-3.el9_5.x86_64
p11-kit-trust	p11-kit-trust-0.25.3-3.el9_5.x86_64
pam	pam-1.5.1-26.el9_6.x86_64
passt	passt-0^20250217.ga1e48a0-13.el9_6.x86_64
passt-selinux	passt-selinux-0^20250217.ga1e48a0-13.el9_6.noarch
passwd	passwd-0.80-12.el9.x86_64
pciutils-libs	pciutils-libs-3.7.0-7.el9.x86_64
pciutils	pciutils-3.7.0-7.el9.x86_64
pcre2	pcre2-10.40-6.el9.x86_64
pcre2-syntax	pcre2-syntax-10.40-6.el9.noarch
pcre	pcre-8.44-4.el9.x86_64
perl-AutoLoader	perl-AutoLoader-5.74-481.1.el9_6.noarch
perl-base	perl-base-2.27-481.1.el9_6.noarch
perl-B	perl-B-1.80-481.1.el9_6.x86_64
perl-Carp	perl-Carp-1.50-460.el9.noarch
perl-Class-Struct	perl-Class-Struct-0.66-481.1.el9_6.noarch
perl-constant	perl-constant-1.33-461.el9.noarch
perl-Data-Dumper	perl-Data-Dumper-2.174-462.el9.x86_64
perl-Digest-MD5	perl-Digest-MD5-2.58-4.el9.x86_64
perl-Digest	perl-Digest-1.19-4.el9.noarch
perl-Encode	perl-Encode-3.08-462.el9.x86_64
perl-Errno	perl-Errno-1.30-481.1.el9_6.x86_64
perl-Exporter	perl-Exporter-5.74-461.el9.noarch
perl-Fcntl	perl-Fcntl-1.13-481.1.el9_6.x86_64
perl-File-Basename	perl-File-Basename-2.85-481.1.el9_6.noarch
perl-FileHandle	perl-FileHandle-2.03-481.1.el9_6.noarch
perl-File-Path	perl-File-Path-2.18-4.el9.noarch
perl-File-stat	perl-File-stat-1.09-481.1.el9_6.noarch
perl-File-Temp	perl-File-Temp-0.231.100-4.el9.noarch
perl-Getopt-Long	perl-Getopt-Long-2.52-4.el9.noarch
perl-Getopt-Std	perl-Getopt-Std-1.12-481.1.el9_6.noarch
perl-HTTP-Tiny	perl-HTTP-Tiny-0.076-462.el9.noarch
perl-if	perl-if-0.60.800-481.1.el9_6.noarch
perl-interpreter	perl-interpreter-5.32.1-481.1.el9_6.x86_64
perl-IO	perl-IO-1.43-481.1.el9_6.x86_64
perl-IO-Socket-IP	perl-IO-Socket-IP-0.41-5.el9.noarch
perl-IO-Socket-SSL	perl-IO-Socket-SSL-2.073-2.el9.noarch
perl-IPC-Open3	perl-IPC-Open3-1.21-481.1.el9_6.noarch
perl-libnet	perl-libnet-3.13-4.el9.noarch
perl-libs	perl-libs-5.32.1-481.1.el9_6.x86_64
perl-MIME-Base64	perl-MIME-Base64-3.16-4.el9.x86_64
perl-Mozilla-CA	perl-Mozilla-CA-20200520-6.el9.noarch
perl-mro	perl-mro-1.23-481.1.el9_6.x86_64
perl-NDBM_File	perl-NDBM_File-1.15-481.1.el9_6.x86_64
perl-Net-SSLeay	perl-Net-SSLeay-1.94-1.el9.x86_64
perl-overloading	perl-overloading-0.02-481.1.el9_6.noarch
perl-overload	perl-overload-1.31-481.1.el9_6.noarch
perl-parent	perl-parent-0.238-460.el9.noarch
perl-PathTools	perl-PathTools-3.78-461.el9.x86_64
perl-Pod-Escapes	perl-Pod-Escapes-1.07-460.el9.noarch
perl-podlators	perl-podlators-4.14-460.el9.noarch
perl-Pod-Perldoc	perl-Pod-Perldoc-3.28.01-461.el9.noarch
perl-Pod-Simple	perl-Pod-Simple-3.42-4.el9.noarch
perl-Pod-Usage	perl-Pod-Usage-2.01-4.el9.noarch
perl-POSIX	perl-POSIX-1.94-481.1.el9_6.x86_64
perl-Scalar-List-Utils	perl-Scalar-List-Utils-1.56-462.el9.x86_64
perl-SelectSaver	perl-SelectSaver-1.02-481.1.el9_6.noarch
perl-Socket	perl-Socket-2.031-4.el9.x86_64
perl-Storable	perl-Storable-3.21-460.el9.x86_64
perl-subs	perl-subs-1.03-481.1.el9_6.noarch
perl-Symbol	perl-Symbol-1.08-481.1.el9_6.noarch
perl-Term-ANSIColor	perl-Term-ANSIColor-5.01-461.el9.noarch
perl-Term-Cap	perl-Term-Cap-1.17-460.el9.noarch
perl-Text-ParseWords	perl-Text-ParseWords-3.30-460.el9.noarch
perl-Text-Tabs+Wrap	perl-Text-Tabs+Wrap-2013.0523-460.el9.noarch
perl-Time-Local	perl-Time-Local-1.300-7.el9.noarch
perl-URI	perl-URI-5.09-3.el9.noarch
perl-vars	perl-vars-1.05-481.1.el9_6.noarch
pigz	pigz-2.8-1.el9.x86_64
pkgconf-m4	pkgconf-m4-1.7.3-10.el9.noarch
pkgconf	pkgconf-1.7.3-10.el9.x86_64
pkgconf-pkg-config	pkgconf-pkg-config-1.7.3-10.el9.x86_64
podman	podman-5.4.0-20.el9_6.2.x86_64
policycoreutils	policycoreutils-3.6-2.1.el9.x86_64
policycoreutils-python-utils	policycoreutils-python-utils-3.6-2.1.el9.noarch
polkit-libs	polkit-libs-0.117-13.el9.x86_64
polkit-pkla-compat	polkit-pkla-compat-0.1-21.el9.x86_64
polkit	polkit-0.117-13.el9.x86_64
popt	popt-1.18-8.el9.x86_64
procps-ng	procps-ng-3.3.17-14.el9.x86_64
protobuf-c	protobuf-c-1.3.3-13.el9.x86_64
psmisc	psmisc-23.4-3.el9.x86_64
publicsuffix-list-dafsa	publicsuffix-list-dafsa-20210518-3.el9.noarch
python3-audit	python3-audit-3.1.5-4.el9.x86_64
python3-chardet	python3-chardet-4.0.0-5.el9.noarch
python3-cloud-what	python3-cloud-what-1.29.45.1-1.el9_6.x86_64
python3-dateutil	python3-dateutil-2.8.1-7.el9.noarch
python3-dbus	python3-dbus-1.2.18-2.el9.x86_64
python3-decorator	python3-decorator-4.4.2-6.el9.noarch
