LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
50m         Normal    Pulling                   pod/machine-api-controllers-5f444756bc-487s2               Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:1bae917244dfdaf1a62acf884eabf34385416bfed3024c0d4c65d3ac2ab6401d"
50m         Normal    LeaderElection            lease/cluster-api-provider-machineset-leader               machine-api-controllers-5f444756bc-487s2_46da0a91-4f7b-431e-9d7f-3b03ee461e9b became leader
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7" already present on machine and can be accessed by the pod
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:1bae917244dfdaf1a62acf884eabf34385416bfed3024c0d4c65d3ac2ab6401d" in 11.471s (11.471s including waiting). Image size: 448691826 bytes.
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7" already present on machine and can be accessed by the pod
50m         Normal    LeaderElection            lease/cluster-api-provider-azure-leader                    machine-api-controllers-5f444756bc-487s2_7209e287-b59d-422b-9768-6994984e18b0 became leader
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:dee202ae1d67cdcf9771d0dbdf552d2306d8964fca12316966966a5e3da5f76d" already present on machine and can be accessed by the pod
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:dee202ae1d67cdcf9771d0dbdf552d2306d8964fca12316966966a5e3da5f76d" already present on machine and can be accessed by the pod
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    Pulled                    pod/machine-api-controllers-5f444756bc-487s2               Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:dee202ae1d67cdcf9771d0dbdf552d2306d8964fca12316966966a5e3da5f76d" already present on machine and can be accessed by the pod
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Started                   pod/machine-api-controllers-5f444756bc-487s2               Container started
50m         Normal    LeaderElection            lease/cluster-api-provider-nodelink-leader                 machine-api-controllers-5f444756bc-487s2_f1b52ead-2103-41a8-827d-45b7d6306b62 became leader
50m         Normal    LeaderElection            lease/cluster-api-provider-healthcheck-leader              machine-api-controllers-5f444756bc-487s2_3e6b816f-a82c-465a-b2c2-6c6e4376127c became leader
50m         Normal    Created                   pod/machine-api-controllers-5f444756bc-487s2               Container created
50m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-master-2                 Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-master-2"
50m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-master-1                 Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-master-1"
50m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-master-0                 Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-master-0"
50m         Normal    Created                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus23-5xd67    Created machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus23-5xd67"
50m         Normal    Created                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus22-wrwp4    Created machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus22-wrwp4"
50m         Normal    Created                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-rnxgt    Created machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-rnxgt"
45m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus22-wrwp4    Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus22-wrwp4"
40m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-rnxgt    Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-rnxgt"
39m         Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus23-5xd67    Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus23-5xd67"
7m16s       Normal    Created                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-jdpdv    Created machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-jdpdv"
6m10s       Normal    Updated                   machine/ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-jdpdv    Updated machine "ci-ln-rm0x8pk-1d09d-vkpbd-worker-eastus21-jdpdv"
